5.941361325210225280e-02 3.597465742015655152e+06
6.059012044521319001e-02 1.750410024061494507e+06
6.176662763832412723e-02 1.708308325232027331e+06
6.294313483143505750e-02 1.667780521685904590e+06
6.411964202454599471e-02 1.628739976985510904e+06
6.529614921765693192e-02 1.591106298760807142e+06
6.647265641076786913e-02 3.101469233079521451e+06
6.764916360387880634e-02 1.511767166743793758e+06
6.882567079698974355e-02 1.478062955953548662e+06
7.000217799010068076e-02 1.445491659811715363e+06
7.117868518321161797e-02 1.413997100732421735e+06
7.235519237632255518e-02 1.383526754956519697e+06
7.353169956943349239e-02 3.041787522241605446e+07
7.470820676254442960e-02 1.845148892168390378e+07
7.588471395565536681e-02 1.396544602550296485e+07
7.706122114876629015e-02 1.105936540556846745e+07
7.823772834187722736e-02 8.365177811207031831e+06
7.941423553498816457e-02 8.142449652744106017e+06
8.059074272809910178e-02 7.926224506207105704e+06
8.176724992121003899e-02 6.700406892685109749e+06
8.294375711432097620e-02 7.535009716039792635e+06
8.412026430743191341e-02 5.271495808334331959e+06
8.529677150054285062e-02 7.171723040702199563e+06
8.647327869365378783e-02 5.021675571423815563e+06
8.764978588676472504e-02 4.911055709372504614e+06
8.882629307987566225e-02 5.826784712985754944e+06
9.000280027298659946e-02 4.692479906940763816e+06
9.117930746609753667e-02 4.590389790058963001e+06
9.235581465920846000e-02 4.490900695263321511e+06
9.353232185231939722e-02 4.393914470777005889e+06
9.470882904543033443e-02 2.619596545548107941e+06
9.588533623854127164e-02 4.224012019845779054e+06
9.706184343165220885e-02 5.025771415560235269e+06
9.823835062476314606e-02 4.040216073654464912e+06
9.941485781787408327e-02 2.411226270616529509e+06
1.005913650109850205e-01 3.886535922114699148e+06
1.017678722040959577e-01 3.804385169819745235e+06
1.029443793972068949e-01 2.273364155885697808e+06
1.041208865903178321e-01 4.456375802783677354e+06
1.052973937834287693e-01 3.579225285633325111e+06
1.064739009765396927e-01 2.139559980645467062e+06
1.076504081696506299e-01 3.445698822457285132e+06
1.088269153627615671e-01 2.060979877613607794e+06
1.100034225558725043e-01 3.317884721342252102e+06
1.111799297489834415e-01 3.959284394804142416e+06
1.123564369420943648e-01 1.940852914007067680e+06
1.135329441352053020e-01 3.124182044769692235e+06
1.147094513283162392e-01 1.870378602241219720e+06
1.158859585214271765e-01 3.009384228537403978e+06
1.170624657145380998e-01 1.802737428636812605e+06
1.182389729076490370e-01 2.899155479617843404e+06
1.194154801007599742e-01 2.363084327874010894e+06
1.205919872938709114e-01 1.705103243946413742e+06
1.217684944869818486e-01 2.744021826761589851e+06
1.229450016800927858e-01 1.643861654883745126e+06
1.241215088732037231e-01 2.644047756023540627e+06
1.252980160663146603e-01 1.584920219400895061e+06
1.264745232594255975e-01 3.108265469755804632e+06
